Code,Decimal,Description,Abbreviation / Key
U+0000,0,Null character,NUL
U+0001,1,Start of Heading,SOH / Ctrl-A
U+0002,2,Start of Text,STX / Ctrl-B
U+0003,3,End-of-text character,ETX / Ctrl-C1
U+0004,4,End-of-transmission character,EOT / Ctrl-D2
U+0005,5,Enquiry character,ENQ / Ctrl-E
U+0006,6,Acknowledge character,ACK / Ctrl-F
U+0007,7,Bell character,BEL / Ctrl-G3
U+0008,8,Backspace,BS / Ctrl-H
U+0009,9,Horizontal tab,HT / Ctrl-I
U+000A,10,Line feed,LF / Ctrl-J4
U+000B,11,Vertical tab,VT / Ctrl-K
U+000C,12,Form feed,FF / Ctrl-L
U+000D,13,Carriage return,CR / Ctrl-M5
U+000E,14,Shift Out,SO / Ctrl-N
U+000F,15,Shift In,SI / Ctrl-O6
U+0010,16,Data Link Escape,DLE / Ctrl-P
U+0011,17,Device Control 1,DC1 / Ctrl-Q7
U+0012,18,Device Control 2,DC2 / Ctrl-R
U+0013,19,Device Control 3,DC3 / Ctrl-S8
U+0014,20,Device Control 4,DC4 / Ctrl-T
U+0015,21,Negative-acknowledge character,NAK / Ctrl-U9
U+0016,22,Synchronous Idle,SYN / Ctrl-V
U+0017,23,End of Transmission Block,ETB / Ctrl-W
U+0018,24,Cancel character,CAN / Ctrl-X10
U+0019,25,End of Medium,EM / Ctrl-Y
U+001A,26,Substitute character,SUB / Ctrl-Z11
U+001B,27,Escape character,ESC
U+001C,28,File Separator,FS
U+001D,29,Group Separator,GS
U+001E,30,Record Separator,RS
U+001F,31,Unit Separator,US
U+007F,127,Delete,DEL
U+0080,128,Padding Character,PAD
U+0081,129,High Octet Preset,HOP
U+0082,130,Break Permitted Here,BPH
U+0083,131,No Break Here,NBH
U+0084,132,Index,IND
U+0085,133,Next Line,NEL
U+0086,134,Start of Selected Area,SSA
U+0087,135,End of Selected Area,ESA
U+0088,136,Character Tabulation Set,HTS
U+0089,137,Character Tabulation with Justification,HTJ
U+008A,138,Line Tabulation Set,VTS
